CTY_NAME,CTY_TXT,State,Region,Division,POINT_X,POINT_Y
Hawaii,G15001,Hawaii,West Region,Pacific Division,-155.51826000600,19.59826464770
Columbia,G05027,Arkansas,South Region,West South Central Division,-93.22727486670,33.21428182140
Bowman,G38011,North Dakota,Midwest Region,West North Central Division,-103.52071147100,46.11256840960
Essex,G36031,New York,Northeast Region,Middle Atlantic Division,-73.77270491810,44.11719102050
Colfax,G35007,New Mexico,West Region,Mountain Division,-104.64681045700,36.60606642590
Sanders,G30089,Montana,West Region,Mountain Division,-115.13338182100,47.67481482970
Gallatin,G30031,Montana,West Region,Mountain Division,-111.17036740200,45.54075977060
Quay,G35037,New Mexico,West Region,Mountain Division,-103.54970142800,35.10433719290
Grant,G38037,North Dakota,Midwest Region,West North Central Division,-101.63967829900,46.35866760570
Ulster,G36111,New York,Northeast Region,Middle Atlantic Division,-74.25858237450,41.88799412630
Rolette,G38079,North Dakota,Midwest Region,West North Central Division,-99.84096221380,48.77240517510
Deuel,G46039,South Dakota,Midwest Region,West North Central Division,-96.66800829250,44.76007362530
Clatsop,G41007,Oregon,West Region,Pacific Division,-123.65712414100,45.98666277880
Douglas,G46043,South Dakota,Midwest Region,West North Central Division,-98.36605163080,43.38693629420
Kane,G49025,Utah,West Region,Mountain Division,-111.88782744600,37.28500835620
Spink,G46115,South Dakota,Midwest Region,West North Central Division,-98.34618385310,44.93798356540
Franklin,G53021,Washington,West Region,Pacific Division,-118.89914125500,46.53478056590
Daggett,G49009,Utah,West Region,Mountain Division,-109.50773554800,40.88713273820
Ziebach,G46137,South Dakota,Midwest Region,West North Central Division,-101.66580687800,44.98030522620
Snohomish,G53061,Washington,West Region,Pacific Division,-121.69594663700,48.04722450480
Pend Oreille,G53051,Washington,West Region,Pacific Division,-117.27395718600,48.53220115820
Madison,G05087,Arkansas,South Region,West South Central Division,-93.72450710550,36.01104820450
Latah,G16057,Idaho,West Region,Mountain Division,-116.71158565200,46.81601179040
Stevens,G53065,Washington,West Region,Pacific Division,-117.85511102700,48.39928641280
Stanley,G46117,South Dakota,Midwest Region,West North Central Division,-100.73588486400,44.41207764110
Kittitas,G53037,Washington,West Region,Pacific Division,-120.67960821900,47.12416901250
Washington,G16087,Idaho,West Region,Mountain Division,-116.78471779700,44.45240200860
Jackson,G46071,South Dakota,Midwest Region,West North Central Division,-101.62835636000,43.69415290670
Lake,G41037,Oregon,West Region,Pacific Division,-120.38751591800,42.79338337590
Dunn,G38025,North Dakota,Midwest Region,West North Central Division,-102.61831768200,47.35670852540
Perkins,G46105,South Dakota,Midwest Region,West North Central Division,-102.47561346200,45.49047640260
Pike,G05109,Arkansas,South Region,West South Central Division,-93.65637611070,34.16341607600
Morton,G38059,North Dakota,Midwest Region,West North Central Division,-101.28106257700,46.71607469900
Union,G35059,New Mexico,West Region,Mountain Division,-103.47100766000,36.48172940810
Otero,G35035,New Mexico,West Region,Mountain Division,-105.74167659800,32.61311471630
Sullivan,G36105,New York,Northeast Region,Middle Atlantic Division,-74.76819884460,41.71653490750
Sheridan,G38083,North Dakota,Midwest Region,West North Central Division,-100.34559947200,47.57540984560
Madison,G30057,Montana,West Region,Mountain Division,-111.92031885000,45.30072790080
Calhoun,G05013,Arkansas,South Region,West South Central Division,-92.50295218260,33.55811540060
Lincoln,G05079,Arkansas,South Region,West South Central Division,-91.73336951620,33.95732752280
Nez Perce,G16069,Idaho,West Region,Mountain Division,-116.74999406300,46.32686064360
Richland,G30083,Montana,West Region,Mountain Division,-104.56155777900,47.78802730340
Fremont,G16043,Idaho,West Region,Mountain Division,-111.48193746200,44.22885325870
Minidoka,G16067,Idaho,West Region,Mountain Division,-113.63756384800,42.85431425520
Essex,G34013,New Jersey,Northeast Region,Middle Atlantic Division,-74.24804957050,40.78787378930
Chemung,G36015,New York,Northeast Region,Middle Atlantic Division,-76.75988597790,42.14120574020
New York,G36061,New York,Northeast Region,Middle Atlantic Division,-73.96652011790,40.77938681550
McIntosh,G40091,Oklahoma,South Region,West South Central Division,-95.66690778830,35.37370752460
Douglas,G41019,Oregon,West Region,Pacific Division,-123.16481536000,43.27909998890
Ottawa,G40115,Oklahoma,South Region,West South Central Division,-94.81036209040,36.83548623510
Noble,G40103,Oklahoma,South Region,West South Central Division,-97.23047781280,36.38858758900
Union,G41061,Oregon,West Region,Pacific Division,-118.00903616400,45.31025765830
Pennington,G46103,South Dakota,Midwest Region,West North Central Division,-102.82401965900,44.00382111980
Davison,G46035,South Dakota,Midwest Region,West North Central Division,-98.14594690160,43.67465157420
Walworth,G46129,South Dakota,Midwest Region,West North Central Division,-100.03153112700,45.42991741290
Summit,G49043,Utah,West Region,Mountain Division,-110.95581240500,40.86818316060
Yakima,G53077,Washington,West Region,Pacific Division,-120.73859380400,46.45680017600
Ferry,G53019,Washington,West Region,Pacific Division,-118.51664303000,48.46984935010
Richmond,G36085,New York,Northeast Region,Middle Atlantic Division,-74.15248598770,40.58080903050
Newton,G05101,Arkansas,South Region,West South Central Division,-93.21797414090,35.91997157380
Cattaraugus,G36009,New York,Northeast Region,Middle Atlantic Division,-78.67884944350,42.24872064130
Hill,G30041,Montana,West Region,Mountain Division,-110.11132881400,48.62823942430
Lea,G35025,New Mexico,West Region,Mountain Division,-103.41245022700,32.79222168410
Burke,G38013,North Dakota,Midwest Region,West North Central Division,-102.51821293300,48.79097058210
Bristol,G44001,Rhode Island,Northeast Region,New England Division,-71.28434452290,41.71730933430
Caddo,G40015,Oklahoma,South Region,West South Central Division,-98.37519893240,35.17427105850
Murray,G40099,Oklahoma,South Region,West South Central Division,-97.06789526150,34.48238629660
Cache,G49005,Utah,West Region,Mountain Division,-111.74339490500,41.72231454070
Bennett,G46007,South Dakota,Midwest Region,West North Central Division,-101.66389811200,43.19483416230
Lake,G46079,South Dakota,Midwest Region,West North Central Division,-97.12937483350,44.02204316730
Benton,G53005,Washington,West Region,Pacific Division,-119.51126987900,46.23973096350
Douglas,G53017,Washington,West Region,Pacific Division,-119.69171001300,47.73600198300
Spokane,G53063,Washington,West Region,Pacific Division,-117.40402557400,47.62058674200
Pembina,G38067,North Dakota,Midwest Region,West North Central Division,-97.55194965380,48.76738423220
Baxter,G05005,Arkansas,South Region,West South Central Division,-92.33694615930,36.28700819270
Sequoyah,G40135,Oklahoma,South Region,West South Central Division,-94.75512140240,35.49537621250
Jerome,G16053,Idaho,West Region,Mountain Division,-114.26410707100,42.68991818370
Roger Mills,G40129,Oklahoma,South Region,West South Central Division,-99.69570096020,35.68816879980
Harper,G40059,Oklahoma,South Region,West South Central Division,-99.66737807400,36.78872110760
Garfield,G30033,Montana,West Region,Mountain Division,-106.99274914500,47.27754999270
Logan,G40083,Oklahoma,South Region,West South Central Division,-97.44331986930,35.91930762830
Glacier,G30035,Montana,West Region,Mountain Division,-112.99458580400,48.70500234140
Coal,G40029,Oklahoma,South Region,West South Central Division,-96.29775976370,34.58821314360
Tulsa,G40143,Oklahoma,South Region,West South Central Division,-95.94148658420,36.12105737810
Hughes,G46065,South Dakota,Midwest Region,West North Central Division,-99.99619692650,44.38919126530
Harney,G41025,Oregon,West Region,Pacific Division,-118.96787323200,43.06391460140
Washington,G41067,Oregon,West Region,Pacific Division,-123.09858105900,45.56002255160
Roberts,G46109,South Dakota,Midwest Region,West North Central Division,-96.94614477470,45.62970897270
Turner,G46125,South Dakota,Midwest Region,West North Central Division,-97.14873036200,43.31092853250
Okanogan,G53047,Washington,West Region,Pacific Division,-119.74089973900,48.54882941280
Boise,G16015,Idaho,West Region,Mountain Division,-115.73002425600,43.98909905460
Pondera,G30073,Montana,West Region,Mountain Division,-112.22613091100,48.22815294660
Bear Lake,G16007,Idaho,West Region,Mountain Division,-111.32971921400,42.28495372190
Griggs,G38039,North Dakota,Midwest Region,West North Central Division,-98.23707356450,47.45723342230
Yell,G05149,Arkansas,South Region,West South Central Division,-93.41092391230,35.00261604480
Prairie,G30079,Montana,West Region,Mountain Division,-105.37790617600,46.86043233850
Monroe,G36055,New York,Northeast Region,Middle Atlantic Division,-77.69622800270,43.14649738690
Slope,G38087,North Dakota,Midwest Region,West North Central Division,-103.45982781600,46.44721327550
Nassau,G36059,New York,Northeast Region,Middle Atlantic Division,-73.59006537760,40.74711846300
Traill,G38097,North Dakota,Midwest Region,West North Central Division,-97.16143800870,47.45405032920
Grant,G40053,Oklahoma,South Region,West South Central Division,-97.78605804270,36.79606393290
Wagoner,G40145,Oklahoma,South Region,West South Central Division,-95.52126485310,35.96119422510
Benton,G41003,Oregon,West Region,Pacific Division,-123.42948969200,44.49181214550
Clackamas,G41005,Oregon,West Region,Pacific Division,-122.22085568700,45.18817284490
Clark,G46025,South Dakota,Midwest Region,West North Central Division,-97.72940432170,44.85822574210
Polk,G05113,Arkansas,South Region,West South Central Division,-94.22814842680,34.48571668160
Cleburne,G05023,Arkansas,South Region,West South Central Division,-92.02672424190,35.53794072940
Pope,G05115,Arkansas,South Region,West South Central Division,-93.03415532900,35.44760318410
Custer,G30017,Montana,West Region,Mountain Division,-105.57179922700,46.25267446640
Shoshone,G16079,Idaho,West Region,Mountain Division,-115.89119374000,47.35170707930
Mountrail,G38061,North Dakota,Midwest Region,West North Central Division,-102.35567727800,48.20133476620
Washington,G05143,Arkansas,South Region,West South Central Division,-94.21556500570,35.97903810130
Gregory,G46053,South Dakota,Midwest Region,West North Central Division,-99.18569834140,43.19234381190
Jerauld,G46073,South Dakota,Midwest Region,West North Central Division,-98.62964103080,44.06632803790
Payne,G40119,Oklahoma,South Region,West South Central Division,-96.97573582690,36.07730343440
Petroleum,G30069,Montana,West Region,Mountain Division,-108.25024745900,47.11757232690
Delaware,G40041,Oklahoma,South Region,West South Central Division,-94.80261776260,36.40816760750
Corson,G46031,South Dakota,Midwest Region,West North Central Division,-101.19684224900,45.70854054720
Le Flore,G40079,Oklahoma,South Region,West South Central Division,-94.70343243410,34.90013573950
Billings,G38007,North Dakota,Midwest Region,West North Central Division,-103.37640886500,47.02334178100
Herkimer,G36043,New York,Northeast Region,Middle Atlantic Division,-74.96264427670,43.41952232090
Cassia,G16031,Idaho,West Region,Mountain Division,-113.60034272800,42.28387863710
Caddo,G22017,Louisiana,South Region,West South Central Division,-93.88260886850,32.58022928130
Bienville,G22013,Louisiana,South Region,West South Central Division,-93.05581703980,32.34719940500
Franklin,G22041,Louisiana,South Region,West South Central Division,-91.67378482040,32.13315647530
Harding,G46063,South Dakota,Midwest Region,West North Central Division,-103.49572530600,45.58032864340
